Stop_street,stop_lat,stop_name,stop_region,zone_id,stop_country,stop_lon,stop_city,stop_id,stop_desc,stop_postcode,location_type
,44.69997,caledonia Rd after Montebello Dr,,,,-63.537922,,6361,,,0
,44.689198,caledonia Rd after and opposite Westwood Dr,,,,-63.531567,,6360,,,0
,44.693466,caledonia Rd before Dunbarton Ave,,,,-63.533905,,6367,,,0
,44.687275,caledonia Rd before Roleika Dr,,,,-63.530716,,6366,,,0
,44.702045,breeze Dr before Appian Way,,,,-63.539467,,6365,,,0
,44.698044,caledonia Rd in front of civic address 212,,,,-63.536655,,6364,,,0
,44.686131,micmac Terminal [inbound],,,,-63.561821,,7218,,,0
,44.68618,micmac Terminal [outbound],,,,-63.561489,,7219,,,0
,44.684551,micmac Blvd in front of Manor Apts,,,,-63.556698,,7210,,,0
,44.686699,micmac Blvd after Horizon Ct,,,,-63.564308,,7211,,,0
,44.722546,bluewater Rd in front of civic address 107,,,,-63.710236,,7212,,,0
,44.686409,micmac Blvd before Kings Apts,,,,-63.564857,,7213,,,0
,44.684803,micmac Blvd after Woodland Ave,,,,-63.567871,,7214,,,0
,44.685165,micmac Blvd before Woodland Ave,,,,-63.568176,,7215,,,0
,44.721069,bluewater Rd in front of civic address 155,,,,-63.713524,,7216,,,0
,44.718658,bluewater Rd in front of civic address 217,,,,-63.715073,,7217,,,0
,44.669888,bedford Hwy before Sherbrooke Dr,,,,-63.641006,,6217,,,0
,44.672749,bedford Hwy in front of Melody [msvu],,,,-63.644279,,6216,,,0
,44.777344,beaver Bank Rd in front of civic address 5,,,,-63.695236,,6215,,,0
,44.780457,beaver Bank Rd before Gloria Ave,,,,-63.692917,,6214,,,0
,44.780476,beaver Bank Rd after Gloria Ave,,,,-63.693119,,6213,,,0
,44.777309,beaver Bank Rd after Judy Ave,,,,-63.695477,,6212,,,0
,44.634007,beaufort Ave [northbound] before South St,,,,-63.59507,,6211,,,0
,44.632492,beaufort Ave [northbound] before Oakland Rd,,,,-63.592297,,6210,,,0
,44.672913,bedford Hwy [outbound] opposite Msvu,,,,-63.644367,,6219,,,0
,44.721004,bluewater Rd opposite Command Ct,,,,-63.713383,,6218,,,0
,44.730793,hammonds Plains Rd before civic address 1541,,,,-63.754322,,6819,,,0
